City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed(mph)
Albany,100,US,1613491995,87,42.6001,-73.9662,35.01,1.86
Ushuaia,40,AR,1613492060,51,-54.8,-68.3,60.8,12.66
Vaini,20,TO,1613492061,94,-21.2,-175.2,73.4,3.44
Kavieng,62,PG,1613492061,78,-2.5744,150.7967,82.9,9.22
Dikson,46,RU,1613491571,85,73.5069,80.5464,-29.16,11.41
Marsabit,92,KE,1613492061,35,2.3284,37.9899,78.4,10.89
Padang,40,ID,1613492061,88,-0.9492,100.3543,77.0,3.44
Slave Lake,90,CA,1613492062,84,55.2834,-114.769,-5.8,3.69
Sattahip,20,TH,1613492062,89,12.6664,100.9007,78.8,6.91
Rikitea,4,PF,1613491568,77,-23.1203,-134.9692,78.35,17.0
Hermanus,4,ZA,1613492063,63,-34.4187,19.2345,73.0,8.99
Zhuhai,0,CN,1613492063,82,22.2769,113.5678,72.0,2.3
Belaya Gora,84,RU,1613492063,86,68.5333,146.4167,-26.34,1.16
Broome,90,US,1613492063,87,42.2506,-75.833,41.0,11.5
Bulungu,100,CD,1613492064,90,-4.55,18.6,75.43,3.98
Bac Lieu,2,VN,1613492064,83,9.285,105.7244,72.27,7.45
Lorengau,100,PG,1613492064,85,-2.0226,147.2712,80.26,17.78
Acarí,0,PE,1613492064,40,-15.4311,-74.6158,85.69,10.63
Itarema,100,BR,1613492064,87,-2.9248,-39.9167,77.25,3.38
Te Anau,2,NZ,1613492065,88,-45.4167,167.7167,40.08,1.83
Rocha,63,UY,1613492065,78,-34.4833,-54.3333,75.56,10.47
Predeşti,0,RO,1613492066,47,44.35,23.6,34.0,3.44
New Norfolk,0,AU,1613492067,69,-42.7826,147.0587,57.0,1.99
Hasaki,20,JP,1613492067,53,35.7333,140.8333,44.6,11.5
Noumea,0,NC,1613492050,94,-22.2763,166.4572,81.0,2.3
Mataura,0,NZ,1613491999,90,-46.1927,168.8643,41.0,1.01
Svetlograd,90,RU,1613492067,92,45.3353,42.8547,12.2,13.42
Saint Paul Harbor,1,US,1613492068,93,57.79,-152.4072,26.6,6.91
Bengkulu,100,ID,1613492068,89,-3.8004,102.2655,76.84,5.17
Beloyarsk,75,RU,1613491870,59,53.4461,83.9048,32.0,13.42
Dingle,13,PH,1613492068,88,10.9995,122.6711,74.61,7.07
Guaíra,47,BR,1613492069,61,-20.3183,-48.3106,83.68,7.02
Comodoro Rivadavia,0,AR,1613491833,27,-45.8667,-67.5,78.8,11.5
Carnarvon,90,AU,1613492069,100,-24.8667,113.6333,77.0,18.41
Mahébourg,75,MU,1613492069,94,-20.4081,57.7,78.8,6.91
Prado,94,BR,1613491988,64,-17.3411,-39.2208,84.4,13.51
Husavik,75,IS,1613492069,81,66.0449,-17.3389,37.4,2.3
Ancud,75,CL,1613492070,58,-41.8697,-73.8203,59.0,6.91
Warrington,90,GB,1613492070,76,53.3925,-2.5802,53.01,11.5
Upernavik,95,GL,1613492070,90,72.7868,-56.1549,-5.75,6.87
Bluff,0,NZ,1613492070,90,-46.6,168.3333,41.0,1.01
Guerrero Negro,98,MX,1613491571,75,27.9769,-114.0611,60.15,11.3
Pisco,0,PE,1613492071,73,-13.7,-76.2167,75.2,11.5
Banjar,40,ID,1613492071,79,-8.19,114.9675,84.2,11.5
Gamba,94,GA,1613492071,69,-2.65,10.0,82.4,4.63
Ilulissat,40,GL,1613492071,55,69.2167,-51.1,1.4,2.3
